name,url,score,ratings,Brewery,ABV,IBU
Duet,/beer/profile/3120/27604/,4.34,"4,426",Alpine Beer Company,7.00,No IBU
Bell's Kalamazoo Stout,/beer/profile/287/1117/,3.98,"4,418",Bell's Brewery - Eccentric Café & General Store,6.00,No IBU
Imperial Biscotti Break,/beer/profile/24300/80291/,4.35,"4,379",Evil Twin Brewing,11.50,No IBU
Festina Pêche,/beer/profile/64/35720/,3.66,"4,371",Dogfish Head Craft Brewery,4.50,8
Duchesse De Bourgogne,/beer/profile/641/1745/,4.15,"4,359",Brouwerij Verhaeghe,6.00,No IBU
Dark Lord Imperial Stout,/beer/profile/26/7520/,4.27,"4,341",3 Floyds Brewing Co.,15.00,No IBU
Big Eye,/beer/profile/199/709/,4.05,"4,335",Ballast Point Brewing Company,7.00,No IBU
Guinness Extra Stout (Original),/beer/profile/209/650/,3.73,"4,330",Guinness Ltd.,5.60,No IBU
Fat Head's Head Hunter IPA,/beer/profile/19544/50564/,4.33,"4,313",Fat Head's Brewery & Saloon,7.50,No IBU
Hop Nosh IPA,/beer/profile/1416/73764/,4.02,"4,308",Uinta Brewing Company,7.30,82
Raison D'Être,/beer/profile/64/1180/,3.66,"4,306",Dogfish Head Craft Brewery,8.00,25
Samuel Adams Rebel IPA,/beer/profile/35/95386/,3.59,"4,298",Boston Beer Company (Samuel Adams),6.50,No IBU
Vanilla Porter,/beer/profile/2137/27800/,3.66,"4,269",Breckenridge Brewery,5.40,No IBU
IPA,/beer/profile/396/3916/,4.23,"4,264",AleSmith Brewing Company,7.25,No IBU
Hazelnut Brown Nectar,/beer/profile/132/1339/,4.07,"4,263",Rogue Ales,5.60,33
Saison Dupont,/beer/profile/637/1717/,4.18,"4,260",Brasserie Dupont sprl,6.50,No IBU
Sierra Nevada Summerfest,/beer/profile/140/3558/,3.67,"4,258",Sierra Nevada Brewing Co.,5.00,No IBU
Titan IPA,/beer/profile/158/11922/,4.06,"4,238",Great Divide Brewing Company,7.10,No IBU
Hunahpu's Imperial Stout,/beer/profile/17981/47022/,4.58,"4,231",Cigar City Brewing,11.00,80
Chocolate Stout,/beer/profile/132/1118/,4.15,"4,226",Rogue Ales,5.80,69
Tripel Karmeliet,/beer/profile/202/656/,4.28,"4,209",Brouwerij Bosteels,8.40,No IBU
Hercules Double IPA,/beer/profile/158/17060/,4.12,"4,206",Great Divide Brewing Company,10.00,85
Smoked Porter,/beer/profile/147/90/,4,"4,200",Stone Brewing,5.90,No IBU
Harpoon IPA,/beer/profile/98/311/,3.62,"4,194",Harpoon Brewery & Beer Hall,5.90,42
Palate Wrecker,/beer/profile/2743/45175/,4.16,"4,158",Green Flash Brewing Co.,9.50,No IBU
Nelson,/beer/profile/3120/32286/,4.44,"4,136",Alpine Beer Company,7.00,No IBU
Shiner Bock,/beer/profile/143/1352/,3.18,"4,133",Spoetzl Brewery / Shiner,4.40,No IBU
