whiskey,url,age,bottler,price,average_rating,personal_rating
Glendronach 8 The Hielan,http://www.lawhiskeysociety.com/whiskey-profile/3656/Glendronach-8-The-Hielan,8 yrs,N/A,$30 ,C,C-
Glendronach Peated,http://www.lawhiskeysociety.com/whiskey-profile/4058/Glendronach-Peated,N/A,OB,$60 ,B,B
"Glenfarclas ""The Faultline Casks"" K&L Exclusive",http://www.lawhiskeysociety.com/whiskey-profile/3579/Glenfarclas-The-Faultline-Casks-K-and-L-Exclusive,NAS yrs,Glenfarclas,$110 ,B,B
Glenfiddich 21 Gran Reserva,http://www.lawhiskeysociety.com/whiskey-profile/3259/Glenfiddich-21-Gran-Reserva,21 yrs,OB,$180 ,C,C
Glenfiddich Reserve Cask,http://www.lawhiskeysociety.com/whiskey-profile/3661/Glenfiddich-Reserve-Cask,N/A,Glenfiddich,$80 ,C,C
Glenfiddich Select Cask,http://www.lawhiskeysociety.com/whiskey-profile/3660/Glenfiddich-Select-Cask,N/A,Glenfiddich,$65 ,C+,C
Glenfiddich Vintage Cask,http://www.lawhiskeysociety.com/whiskey-profile/3662/Glenfiddich-Vintage-Cask,N/A,Glenfiddich,$120 ,C+,C+
Glenglassaugh 1974 Master Distiller's Select,http://www.lawhiskeysociety.com/whiskey-profile/3279/Glenglassaugh-1974-Master-Distillers-Select,37 yrs,OB,$600 ,B+,B+
Glenglassaugh Revival,http://www.lawhiskeysociety.com/whiskey-profile/3469/Glenglassaugh-Revival,N/A,OB,$50 ,C-,D+
Glenlivet 1981 Signatory K&L,http://www.lawhiskeysociety.com/whiskey-profile/3716/Glenlivet-1981-Signatory-K-and-L,33 yrs,Signatory,$400 ,A-,A-
Glenlivet 1996 Signatory K&L Cask Strength,http://www.lawhiskeysociety.com/whiskey-profile/3969/Glenlivet-1996-Signatory-K-and-L-Cask-Strength,19 yrs,Signatory,$90 ,A-,A-
Glenlossie 1992 Signatory CS,http://www.lawhiskeysociety.com/whiskey-profile/4060/Glenlossie-1992-Signatory-CS,23 yrs,Signatory,$120 ,B,B
Glenlossie 1998 Duncan Taylor Octave,http://www.lawhiskeysociety.com/whiskey-profile/3471/Glenlossie-1998-Duncan-Taylor-Octave,14 yrs,Duncan Taylor,$100 ,C,C+
Glenmorangie 18 (pre-2007),http://www.lawhiskeysociety.com/whiskey-profile/3423/Glenmorangie-18-(pre-2007),18 yrs,OB,$100 ,B+,B+
Glenmorangie Milsean,http://www.lawhiskeysociety.com/whiskey-profile/3751/Glenmorangie-Milsean,N/A,OB,$100 ,B-,B
Glenmorangie Tusail,http://www.lawhiskeysociety.com/whiskey-profile/3564/Glenmorangie-Tusail,N/A,OB,$100 ,B-,B-
Glentauchers 2005 AD Rattray (for Binny's),http://www.lawhiskeysociety.com/whiskey-profile/3655/Glentauchers-2005-AD-Rattray-(for-Binnys),7 yrs,AD Rattray,$90 ,B,B
Great King Street Glasgow Blend,http://www.lawhiskeysociety.com/whiskey-profile/3511/Great-King-Street-Glasgow-Blend,N/A,Compass Box,$40 ,B-,B-
Hazelburn 2003 Rundlets & Kilderkins,http://www.lawhiskeysociety.com/whiskey-profile/3441/Hazelburn-2003-Rundlets-and-Kilderkins,10 yrs,Rundlets & Kilderkins,$80 ,C+,C+
High West Yippee Ki Yay,http://www.lawhiskeysociety.com/whiskey-profile/3871/High-West-Yippee-Ki-Yay,N/A,High West,$60 ,B,B-
Highland Park 1988 Signatory Cask Strength,http://www.lawhiskeysociety.com/whiskey-profile/3508/Highland-Park-1988-Signatory-Cask-Strength,25 yrs,Signatory,$250 ,B,C+
Highland Park 2000 Van Wees The Ultimate,http://www.lawhiskeysociety.com/whiskey-profile/3613/Highland-Park-2000-Van-Wees-The-Ultimate,14 yrs,Van Wees,$70 ,B,B
Highland Park 8yr MacPhail's Collection (New Label),http://www.lawhiskeysociety.com/whiskey-profile/3539/Highland-Park-8yr-MacPhails-Collection-(New-Label),8 yrs,Gordon & MacPhail,$45 ,C+,B-
Inchgower 1990 Maltbarn,http://www.lawhiskeysociety.com/whiskey-profile/3684/Inchgower-1990-Maltbarn,24 yrs,Maltbarn,$120 ,B-,C
Inchgower 1995 Hepburn's Choice for K&L,http://www.lawhiskeysociety.com/whiskey-profile/3787/Inchgower-1995-Hepburns-Choice-for-K-and-L,20 yrs,Langside Distillers,$100 ,B+,B+
Island 2005 Exclusive Malts,http://www.lawhiskeysociety.com/whiskey-profile/3314/Island-2005-Exclusive-Malts,7 yrs,The Creative Whisky Co.,$60 ,B+,B+
Isle of Arran - The Devil's Punch Bowl III,http://www.lawhiskeysociety.com/whiskey-profile/3509/Isle-of-Arran---The-Devils-Punch-Bowl-III,N/A,OB,$125 ,B-,B-
Isle of Skye 12,http://www.lawhiskeysociety.com/whiskey-profile/3757/Isle-of-Skye-12,12 yrs,Ian MacLeod and Co. Ltd.,$30 ,C+,C+
Iwai Tradition,http://www.lawhiskeysociety.com/whiskey-profile/3846/Iwai-Tradition,N/A,Hombo Shuzo Co,$65 ,C+,C-
Jack Daniel's Sinatra Select,http://www.lawhiskeysociety.com/whiskey-profile/3869/Jack-Daniels-Sinatra-Select,N/A,OB,$160 ,B,B
Jack Daniel's Single Barrel - Barrel Proof 15-4972,http://www.lawhiskeysociety.com/whiskey-profile/3877/Jack-Daniels-Single-Barrel---Barrel-Proof-15-4972--,N/A,OB,$65 ,A-,A-
Johnnie Walker Blue Label CS,http://www.lawhiskeysociety.com/whiskey-profile/4047/Johnnie-Walker-Blue-Label-CS,N/A,N/A,$300 ,B+,B+
Johnnie Walker Gold Label Reserve,http://www.lawhiskeysociety.com/whiskey-profile/3358/Johnnie-Walker-Gold-Label-Reserve,N/A,N/A,$70 ,C-,C-
Johnnie Walker Odyssey,http://www.lawhiskeysociety.com/whiskey-profile/3263/Johnnie-Walker-Odyssey,N/A,N/A,$750 ,C+,C+
Jura 1989 Signatory Vintage (for Stoller),http://www.lawhiskeysociety.com/whiskey-profile/3540/Jura-1989-Signatory-Vintage-(for-Stoller),23 yrs,Signatory,$120 ,C+,B-
Jura 2000 Carn Mor,http://www.lawhiskeysociety.com/whiskey-profile/3700/Jura-2000-Carn-Mor,14 yrs,Morrison & MacKay Whisky Merchants,$75 ,B,B
Kavalan Peaty Cask for LMDW,http://www.lawhiskeysociety.com/whiskey-profile/4055/Kavalan-Peaty-Cask-for-LMDW,N/A,OB,$200 ,B,B
Kavalan Sherry Oak,http://www.lawhiskeysociety.com/whiskey-profile/3517/Kavalan-Sherry-Oak,NAS yrs,OB,$120 ,B,B
Kavalan Solist Brandy Cask for LMDW,http://www.lawhiskeysociety.com/whiskey-profile/4054/Kavalan-Solist-Brandy-Cask-for-LMDW,N/A,OB,$200 ,B-,B-
Kilchoman Cask 74/2008 for K&L,http://www.lawhiskeysociety.com/whiskey-profile/3756/Kilchoman-Cask-74-2008-for-K-and-L,4 yrs,OB,$100 ,B,B
Kilkerran Sherry Wood,http://www.lawhiskeysociety.com/whiskey-profile/3722/Kilkerran-Sherry-Wood,N/A,OB,$50 ,B-,B
La Alazana Patagonian,http://www.lawhiskeysociety.com/whiskey-profile/3881/La-Alazana-Patagonian,N/A,OB,$150 ,B,B
Lagavulin 12 Limited Edition 2014,http://www.lawhiskeysociety.com/whiskey-profile/3789/Lagavulin-12-Limited-Edition-2014,12 yrs,OB,$120 ,B,B
Lammerlaw,http://www.lawhiskeysociety.com/whiskey-profile/3861/Lammerlaw,10 yrs,N/A,$40 ,B-,B-
Langatun Old Bear Peated,http://www.lawhiskeysociety.com/whiskey-profile/3935/Langatun-Old-Bear-Peated,6 yrs,OB,$65 ,C+,C+
Laphroaig 10 Cask Strength Batch 006,http://www.lawhiskeysociety.com/whiskey-profile/3387/Laphroaig-10-Cask-Strength-Batch-006,10 yrs,OB,$70 ,B+,B+
Laphroaig 16 for TWE,http://www.lawhiskeysociety.com/whiskey-profile/3864/Laphroaig-16-for-TWE,16 yrs,OB,$180 ,B+,B+
Laphroaig 1997 Old Particular,http://www.lawhiskeysociety.com/whiskey-profile/3401/Laphroaig-1997-Old-Particular,16 yrs,Douglas Laing,$140 ,B,B
Laphroaig 1998 15 yo Signatory (K&L),http://www.lawhiskeysociety.com/whiskey-profile/3576/Laphroaig-1998-15-yo-Signatory-(K-and-L),15 yrs,Signatory,$127 ,B,B+
Laphroaig 1998 16 yo Signatory (The Whisky Exchange),http://www.lawhiskeysociety.com/whiskey-profile/3531/Laphroaig-1998-16-yo-Signatory-(The-Whisky-Exchange),16 yrs,Signatory,$160 ,B+,B+
Laphroaig 1998 Archives,http://www.lawhiskeysociety.com/whiskey-profile/3361/Laphroaig-1998-Archives,13 yrs,Archives,$90 ,B,B
Laphroaig Cairdeas 2014,http://www.lawhiskeysociety.com/whiskey-profile/3257/Laphroaig-Cairdeas-2014,N/A,OB,$80 ,B,B+
Laphroaig Cairdeas 2015 200th Anniversary Edition,http://www.lawhiskeysociety.com/whiskey-profile/3597/Laphroaig-Cairdeas-2015-200th-Anniversary-Edition,NAS yrs,OB,$85 ,B+,B+
